Q,A,R,F,hash
empfehlen, 勧める ,0,0,17995597652546207572
verunreinigen, 大気・水などを汚染する ,1,0,3216471613339689381
beiliegen, 添付同封してある ,0,0,11177281153296179757
zurückdrängen, 押し戻す　撃退する ,1,1,7149925447176678885
zulegen, 増加する ,1,0,6097500986084207348
berechnen, 請求する　見積もる ,0,0,4889026545814918298
hinweisen auf, 指し示す ,1,1,7790025292606073067
überlassen, 任せる　委ねる ,1,1,9206857938654417370
nachgeben, 下落する ,1,1,11345693668465276868
obliegen, 〜の責任がある ,0,0,14051448715765336197
grauen, 怖がる ,1,1,15502205897703158511
heranführen, 近くに持ってくる ,1,1,3879561952559382991
sich annehmen, 〜のことを気にかける　面倒を見る ,1,1,17462346745671257319
anwenden, 応用する　適用する ,0,0,13272395085648683235
zurückweichen, 後退りする ,0,0,5986787775726315847
aufbringen, 調達する　激昂させる　流布させる　ぬる ,0,0,6188377064848545076
erlangen, 獲得する ,1,1,16565163767272142703
anfeuern, 激励鼓舞する ,0,0,4381584047313684118
enthalten, 否定でも肯定でもある　含む ,4,3,3997732877713156351
ausmachen, 意味を持つ　自分たちで解決する　形成する　消す ,0,0,4770389699046739228
anweisen, 仕事を割り当てる ,0,0,17523644055032592687
walzen, 本を使って調べる ,2,1,5545558020800392777
verbreiten, 広める ,1,0,18151224131175516964
wetteifern, 競争する　競り合う ,1,1,13849875179279280485
umstellen, 配置換えをする ,1,0,14836072834210069857
grunzen, 不平を言う ,0,0,8703391402946559846
verhalten, 振る舞う　 ,1,0,7156652137177756100
relegieren, 追放する　降格する ,1,1,6324044401041522608
abhalten, 妨げる　開催する ,0,0,7623047372692441640
lauschen, 聞き入る ,1,0,12233180911414731524
ausgehen von, に由来する ,0,0,12465895965075140568
verdrängen, 追い出す　抑圧する ,1,1,11486570232140290857
schmoren, 蒸し煮にする ,1,0,11551030897648684557
anhalten, 止める　続く ,0,0,13897191603195444769
sich aussprechen für, 賛成と発言する ,0,0,11046437466018143024
aufbegehen, 逆らう　抗議する　反抗する ,0,0,9655775132389760214
sorgen für, の世話をする ,1,0,10139152102959446386
anrichten, 悪いことを引き起こす ,0,0,718193722384836611
lösen, 解決する　取り除く ,0,0,14978773754753832377
vornehmen, する　行う ,1,1,7256344336200018257
entgegenstellen, 対立する ,0,0,15737451001039812171
sich vornehmen, 計画する　企てる ,1,1,5513435523440786396
begreifen, 理解する ,0,0,14827202977236562596
einlösen, 小切手を現金化する　買い戻す ,0,0,2469588076607973782
vorkommen, 起こる　思われる ,1,0,1310075819055766153
neiden, 妬む ,0,0,9958066260436463854
sich überwinden, 気持ちを克服する ,1,1,2628028795272231269
umgehen, 噂や病気が広まる　折り返し返信を送る ,1,0,8356587298783835520
erwirtschaften, 稼ぐ　獲得する ,1,0,18144037622818486281
stemmen, 重いものを持ち上げる ,0,0,6990718310519381707
sich räuspern, こほんと咳をする ,1,1,6921100245436666183
unterstellen, 決めつける ,3,1,15320271883215422452
erlangen, 手にいれる ,0,0,16430202504218827726
erscheinen, 現われる　出現する ,2,1,13179945063315148677
düsten, サッと去る ,0,0,10804089093455987251
widersprechen, 矛盾する　反論する ,1,0,16252644076320406286
klarstellen, 明確にする ,1,0,16379819205382423967
vorkommen, 起こる ,1,0,35193568441644146
bestaunen, 驚嘆する ,0,0,12817083295504608043
ausersehen, 選び出す ,0,0,8072119543370592384
einführen, 導入する ,4,1,208621169604192704
preisen, 褒める ,1,0,8990612770103459865
sich zusammenreißen, 懸命に堪える ,1,1,6111094879847901314
wenden, 向きを変える ,1,0,4617003566478426033
sich decken, 重なる ,2,1,13061414617971806201
ertönen, 鳴り響く ,1,1,7549169930264980275
vertrösten, 待たせる　期待を持たせる ,1,1,1851747597656309958
durchdringen mit, 押し通す ,0,0,10775455816824806634
setzen auf, 〜を重視する ,0,0,2001569349117962640
sich einfinden, 人々が集まる ,1,1,983575856416154623
fremdgehen, 浮気する ,1,1,2273758765859876339
beanspruchen, 要求する　主張する ,0,0,14345637889353542028
halten von, 重視する　無視する ,1,0,13255276643108064128
betreten, 入る　立ち入る ,0,0,9240704227718941470
angehen, に関わる　取り組む　対処する ,0,0,5422966256695781724
vertilgen, 平げる ,0,0,2502706574663328498
wappnen gegen, 〜に備える ,0,0,14254887504400728644
vorbehalten, 留保する　予約する　専用とする ,1,1,11374965975955908204
missfallen, 気に入らない ,1,0,7376359542891865671
anstarren, じっと見る ,0,0,13784665266556388703
stillen, 渇きを癒す　落ち着かせる ,1,0,9774845191237499427
erläutern, 解説する ,1,0,10989645335732248483
verursachen, 引き起こす ,1,0,9889086174223238279
befassen, 取り組む　関与する ,0,0,4019744167971904012
vorherrschen, 支配的である　優勢である ,1,1,8078242347017843996
befördern zu, 昇進させる　運搬する ,0,0,13235259777764599956
anführen, 引用する　率いる ,0,0,5195237018475228229
entflammen, 火がつく　燃え上がる ,0,0,7797277266044678278
aufnehmen, 受け入れる　記録する　始める ,0,0,3890566646270886814
zusamenhalten, 団結する ,1,0,7552795868959123453
anrühren, 触れる　混ぜる ,0,0,13573632505593849071
bereichern, 豊かにする ,0,0,13223564293947018364
züchten, 栽培する　飼育する ,1,0,5214117691354943025
ausmachen, 問題になる　ご迷惑でしょうか ,0,0,17858567734186290594
absehen, 見通す　予測する　見て覚える ,0,0,3018593963915383213
herunterkommen, 衰弱する　落ぶれる ,1,1,10145905944393037288
nachsagen, いい伝える ,0,0,1415691582093630851
verderben, 台無しにする ,2,0,7381244350542752136
aufnehmen, 迎え入れる ,0,0,6067591145516756939
umstelle auf, 合わせる ,1,0,9873460232765061102
abwägen, 比較する　熟慮する ,0,0,2520813739308585322
verlängern, 延長する ,1,1,13710527023759960441
wippen, シーソーで遊ぶ　上下させる ,1,1,4257582170757203196
anhalten, 止まる　持続する ,0,0,11246086825091584158
hindeuten, 示唆する　暗示する ,1,1,12646220469951208460
büßen, 罰を受ける ,0,0,8352476694048366161
vergöttern, 崇拝する ,1,0,5964078153003097956
einsehen, 認識する ,8,7,5106530498725253420
einholen, 追いつく　取り返す　意見や許可を求める ,4,0,2370149779968711594
sich berufen, 引用する ,1,1,7219705457079002671
abraten von, 思いとどまるように説得する ,0,0,12732668009998739890
stöhnen, うめく　ため息をつく ,0,0,10086264244747309418
verstoßen, 追い出す ,1,0,407298020069675134
schwächen, 弱める ,1,0,14910172943784290169
verfahren, 言いうやり方をする　ふるまう ,1,0,12210721107127863553
ausstatten, 装備する　備える ,0,0,18170023281703494033
reisen, 褒める ,0,0,2397326042281361680
fassen, 理解する　解釈する　把握する　つかむ ,1,0,4623272348506417508
erläutern, 説明する ,1,0,8058384587528303681
verabschieden, 別れる　法案を通す ,1,0,208618510249331880
ermöglichen, 可能にする ,2,1,5018349291436048044
äffen, たぶらかす　模倣する ,1,1,13810801335945964406
dehnen, 伸ばす ,0,0,14331718485989599116
andeuten, 暗示する　ほのめかす ,0,0,15901003501002359481
begehen, 犯罪などを犯す　式典を挙行する　歩いて通る ,0,0,18376212621486862110
stülpen, 帽子を頭に被せる　ひっくり返す ,0,0,2270220801940612428
auftreten, 人前に出る　発生する ,0,0,17871053796259946597
verfolgen, 追跡する ,1,0,4296079674127348425
vermitteln, 知らせる　伝える ,1,0,5188114068826063970
sich begehen, 行く　赴く　起こる ,0,0,15201174512440951031
heranwachsen, 成長する ,0,0,8644471342724222591
raten zu, 何々を助言する ,1,0,13575078231759430546
unterdrücken, 抑える　堪える ,2,1,655390483101998763
streiten um, 〜を巡って争う ,1,0,11237139060073870763
anstellen, する　行う ,0,0,3106288312407297796
zusichern, 確約する ,1,1,13670846943214271355
hinnehmen, 仕方なく受け入れる ,0,0,7037116722226574422
versieren, 熟練する ,0,0,11185296145456502360
verabreden, 会うことを約束する ,0,0,8762032413031280538
befördern zu, 昇進させる ,0,0,738610289772199895
abkoppeln, 切り離す　 ,0,0,1856188168990767263
sich einsetzen für, のために努力尽力する ,1,1,10750503021948916534
erörtern, 論じる ,1,1,10368470012244583411
herumwühlen, 探し回る ,1,1,11542479710353979329
sich bemächtigen, 支配する ,1,1,1600916686801872648
ausliefern, 身を委ねる ,0,0,15053025932315429728
trauen, 信用する ,1,1,8677154318326194250
beruhen auf, 〜に基づく ,0,0,144784805778439119
bestehen, 合格する　耐える　存在する ,0,0,8971487532533563211
entsperren, 解除する ,1,1,17659657482130657308
zerschlagen, 解体する ,0,0,5318369157383199578
fördern, 援助する ,1,0,11962187286837274537
aufwarten, 提供する ,0,0,9558580095905185051
einleiten, 手引きする　取りかかる ,4,0,7111120778517794457
hochtraben, 偉そうに振る舞う ,1,1,12948539624084280117
pervertieren, 堕落させる　歪める ,0,0,5590022585291833641
anlegen, 投資する　あてがう　設置する　着用する ,0,0,7773451424077017124
antreten, 始める　踏み出す　位置に着く ,0,0,11934613153557865083
gelingen, 成功する ,0,0,2825974578334715507
unterlegen, 劣っている ,1,1,10383213648553564639
sich einsetzen für, 努力する　尽力する　支持する ,1,1,3134463914594317349
auffordern zu, を頼む　要求する ,0,0,17398078766118158085
auswerten, 分析する　評価する ,0,0,17403313184121210943
zutrauen, 誰かが何かをできると信じる ,0,0,17466947907866410754
versetzen, パンチや蹴りを加える　置き換える ,0,0,1326995600400823527
anfertigen, 作り上げる　作成する ,0,0,16783319761202498986
überreden zu, 説得する ,1,0,13160929394207158041
leben von, によって生計を立てる ,1,0,16567032974654027173
streiten mit, 誰々と喧嘩する ,1,0,10913914959734971129
ausrichten, 役にたつ　真っ直ぐに揃える ,0,0,6368408637231066714
verweisen auf, 指摘する　参照する　指示する ,1,1,5697960129998972876
beiliefern, 供給する　配送する ,0,0,8495355516567091521
erblicken, 目にする ,1,1,15293891722769634839
beitreten, 入会するa ,0,0,15589930406106689687
sich fürchten, 恐れる　怖がる ,1,0,7733445920154109363
ernennen zu, に任命する ,1,0,17884569540434957694
spielen um, を目指してプレーする ,1,0,10406644693792223408
vorsehen, 特定の目的のために計画する ,1,0,18211671944400594343
verständigen, 通報する　通知する ,2,1,3862884661761746966
unterdrücken, 押さえつける ,0,0,18227598751040508492
ausblenden, 見えなくする ,0,0,3040487825131653270
zulassen, 許可する ,0,0,8902169143996722097
betrachten, じっくり眺める　とみなす ,0,0,14436956109857046683
dringen, 押し進む　染み透る　到達する　 ,0,0,15941629662163513271
hereinfallen auf, にだまされる ,0,0,11123964961715105406
lagern, 寝る　しまってある ,1,0,18406163591624937517
verleiten zu, に誘惑する ,2,1,182441576336970096
bangen, 心配する ,0,0,17450546757902541830
sich enthalten, 棄権する　しないでおく ,0,0,7023401512288261800
eingehen, わかる ,15,11,16730900553305029213
blenden, 目をくらます ,0,0,5817416439343120406
anstehen, 並んでまつ　未処理のまま残っている　似合う ,0,0,2916967280987929462
anlegen, ファイルを作成する ,0,0,11087831889309507575
verschaffen, 調達する ,0,0,10690086498954827286
anschneiden, 話題や問題を切り出す ,0,0,2641002799912045059
herumschlagen, 苦労する　苦闘する　もてあます ,0,0,18088929076498459363
warten auf, ~を待つ ,1,0,13978694974257482533
vormachen, だます　見せかける ,1,1,5009435044767985895
entlarven, 暴露する　正体を暴く ,0,0,4527038375547426343
trödeln, ぐずぐずする ,1,1,16964596498383988046
entsetzen, ギョッとさせる　ゾッとさせる ,1,1,2970816254686081860
ausspannen, くつろぐ　 ,0,0,16271319691500724405
zappeln, 体をばたつかせる ,1,1,11281355969781289940
erzielen, 達成する ,1,0,17238320082056160635
behalten, 維持する　留めておく ,0,0,5926059825650278640
sich verringern, 減少する ,1,0,15054083323982848582
umfassen, 含む　カバーする ,1,0,13556981848319066402
vormachen, あざむく　やって見せて教える ,1,1,10300046285524319662
sich aussprechtn, 自分の意見を言う ,1,1,3541945550898710404
versetzen, 移動させる　位置を変える　の状態にする ,1,1,4905478077181633731
überspielen, 上書きする ,1,1,16265162464216499525
abnehmen, 減る　取り外す ,0,0,13315044422176973568
eintreten, 建物に入る　行動に入る　団体にはいる ,4,1,17688297165272376213
verarbeiten, 材料や情報を処理する ,1,0,11951041249514601077
zügeln, 抑える　制御する ,1,1,14600579286425994236
redigieren, 編集する　構成する ,0,0,2583477652435845792
ausrichten, 調節する　目指す　メッセージを渡す ,0,0,17941290682865401633
demütigen, 屈辱を与える ,0,0,13901851723371476888
befassen, 取り組む　扱う ,0,0,14380648033610293278
aufhalten, 引き止める　阻止する ,0,0,7478412063153172456
bringen zu, の状態にする ,0,0,5526311800674938188
beanstanden, 異議を唱える　苦情を言う ,0,0,18146765869887329872
überführen, 立証する ,2,1,234276660769580175
ergeben, 身を捧げる ,0,0,16655955856663875658
bestehen aus, から成り立つ　~でできている ,0,0,17861454441429464740
bestehen auf, 固執する　こだわる ,0,0,13863374399005572306
nachkommen, 従う　ついて行く ,1,1,1640508227903735043
aufbegehren, 対抗する　反抗する ,0,0,148574879269578901
annehmen, 受け入れる　〜とみなす　身につける ,0,0,6014842097258163726
vertreten, 代表する ,1,0,6159170856680007966
belieben, 気に入る ,0,0,9535641117157250990
entscprechen, 適合する　一致する ,1,1,9981549380070004305
sich einstellen auf, に順応する ,1,0,1705503947332204964
erheben, 公的に調査する ,1,1,12471174254127694744
entsprechen, 要望などをかなえる　相当する　対応する ,1,1,2565499669641453494
fesseln, 縛る　拘束する　魅了する　惹きつける ,1,1,3927886486231723955
von weichen, 離れる　消えてなくなる　屈する　道をゆずる ,1,1,8257502510713533155
entgegenwirken, 対抗する　反対する ,2,1,4305580885520547805
ausnehmen, 例外として扱う ,0,0,12147490458227700020
vorgehen, 行動する ,1,1,11551515283716459782
kreieren, 創造する　創案する ,1,0,4143028585003412128
eindringen, 侵入する　入り込む ,7,5,312072002221450980
sich erkundigen nach, 〜のことを尋ねる ,1,0,16897072695890300894
einlassen, 自分を関与させる　参加する ,0,0,12839780140151723306
verplappern, うっかり口を滑らせる ,0,0,17414779954392467843
zusammenraufen, 団結する ,1,1,3054937308960721182
auffliegen, 会社などがつぶれる ,5,4,18402532166726246348
verdüstern, 陰気にする ,0,0,10364681441489808661
bummeln, ぶらぶらする ,0,0,12999557016725574550
entgehen, 逃れる ,2,1,3917620472263669351
sich verlaufen, 道に迷う　集団が散っていく ,1,0,7202646789336146748
sich verwahren gegen, 〜に抗議する ,1,1,18126565246828794504
einberufen, 会議を招集する ,8,5,7389976929024924393
umgeben, 囲む ,1,0,16709441324914174509
entheben, 免職する　取り上げる ,2,2,6120705608040190780
tappen, おぼつかない足取りで歩く ,1,1,690156633927692886
beeinflussen, 影響を及ぼす ,0,0,2296799915175875862
beschaffen, の状態である ,0,0,5999548006394698331
widerlegen, 論破する ,1,1,13794789686841185435
sich einlassen, 手をだす ,1,1,16025372331112857181
aufweisen, 分類する　区分する ,0,0,15715501905267368694
schleifen, 磨く　研ぐ ,1,0,13818987913296966582
berechtigen, 資格を与える ,0,0,1686573584831220652
begehen, 祭りを祝う　悪事を働く ,0,0,15718486155041510977
unterstützen, 支援する ,1,0,13271667412349954842
sich umstellen, 順応する ,1,0,7036091044413867762
sich entscließ zu, 決心を固める ,1,0,17496485914893415369
verwirklichen, 実現する ,1,1,8898579373392401380
einschlagen, ある道を選んで進む ,11,6,1846815508234357359
entblön, 露出させる ,6,5,5875608688041242116
schildern, 描写する　叙述する ,0,0,15895981213985001690
sich aufhalten über, 批判する ,1,1,15105451966329973825
zugreifen, しっかり協力する　つかむ ,1,0,11772031991175737433
zählen auf, を当てにする ,2,1,16620638416357005593
sich vertragen mit, と仲良くする　一致する ,1,0,36950614970543197
ausdrehen, スイッチを切る ,0,0,7694695026035234220
ausstechen, 打ち勝つ ,0,0,14078204367226515493
betrachten, 見つめる　考察する　とみなす ,0,0,5606828837478893967
verprellen, 不快にさせる ,0,0,2142578981880542032
beschuldigen, 非難する ,0,0,890343642923599194
sich umstellen auf, に切り替わる　順応する ,1,0,5122508985658758868
verabreichen, 薬や食事を与える ,1,1,13400976080368000117
bewältigen, 克服する　やり遂げる ,0,0,11364415188459179417
zwingen, 強制する ,1,1,2439813062786250059
verwurzeln, 根付く ,0,0,2136814757130191614
einrasten, 歯車などが噛み合う　掛け金がかかる ,7,4,1221757588784200924
schmoren lassen, 放っておく　待たせる ,1,1,1182317684249027971
betraten, 入る ,0,0,16828559875489833434
abfinden, 妥協する　受け入れる ,0,0,5528169016501744179
verdächtigen, 疑う ,1,0,10763887485668859769
eingreifen, 侵害する　議論に加わる ,0,0,16694729123442197848
pervertieren, 堕落させる ,1,1,13143122437096879581
aufmotzten, 飾り立てる　改造する ,0,0,6857510880887059389
antreten, 出発する　開始する ,0,0,785763037669849258
auffliegen, 秘密などがばれる　公表される ,0,0,14377620650508349662
aufgehen, 明らかになる ,0,0,5113677416770028021
umschreiben, 範囲位を限定する　書き直す　言い換える ,1,0,11181609171672836355
behaupten, 競技などで勝ち抜く ,0,0,9144018963744494887
sich erkundigen bei, 誰々に尋ねる ,1,0,1611471743570248426
verleihen, 授与する ,2,1,11512503576614852140
vermuten, 推測する ,0,0,4704786741739211599
verheimlichen vor, を隠す　秘密にする ,1,0,8402473387007548097
sich einstellen auf, 〜に順応する ,1,0,4127871173487954499
überführen, 有罪を立証する ,1,1,2748834665078642476
wiederaufspulen, テープを巻き戻す ,0,0,14342396841443284300
vergeuden, 浪費する ,1,1,17458781335891230207
verständigen, 合意する　通知する ,0,0,3969865934669646538
gedenken, 追悼する ,2,0,2331821347175254625
verwahren, 大切に保管する ,1,1,15004791053729451317
funken, 火花をちらす ,1,1,9589227393473861780
schlummern, うたた寝する ,1,1,14496957271462218049
ansprechen, 話しかける　訴えかける ,0,0,2071724237860354313
hinnehmen, 受け入れる　耐える ,1,1,5524966710700911138
dringen auf, あくまで主張する ,0,0,11175174758294044078
erahnen, 察する ,1,1,5003638076698079740
recken, 体や物を伸ばす ,0,0,16902380922069365467
zersplittern, 粉々に砕く　分散させる ,1,0,9468787784261260192
erregen, 引き起こす ,0,0,6904102098628477666
aneignen, 習得する ,0,0,2299902948481652098
poltern, 騒ぐ ,1,1,775694405683136710
eingehen, 受け入れる ,0,0,5697833894016591963
aufhalten, 引き止める　押し留める　進行を遅らせる ,0,0,10492560549896065791
ablaufen, 時間が過ぎる　液体が流れる ,0,0,3091071375251800393
angehen, に関して言うと　頼む　適当である ,0,0,2989019460416918621
verschlungen, 飲み込まれた　夢中になる ,1,1,4881159320823239500
prangern, 目につくように置く　きらびやかに輝く ,0,0,16039708385524209142
erarbeiten, 作り上げる　開発する ,1,1,5698320819378174501
herunterschrauben, 要求を低くする ,1,1,8148822505013719681
nisten, 巣を作る ,1,0,10614773315147890421
verfestigen, 強化する ,1,1,16729609497885021208
sich begreifen, 自明のことである ,1,1,8981071619487365432
sicherstellen, 保障する　確保する　 ,0,0,6651496078544914015
sich verwirklichen, 能力を発揮する ,1,1,4758657878090692864
gehorchen, 従う ,1,0,12594176320639363060
sich erschließen, 打ち明ける　明らかになる ,2,1,13177821266977615224
sich enthalten, 投票などを控える ,1,1,3627729732241238008
grübeln, 塾考する ,1,1,13528297947623188404
halten für, と見る　とみなす ,1,0,8394131199312112254
wetten um, 賭けをする ,1,0,16545400903443167384
gleichsetzen, 同等とみなす ,1,0,10590644000856729613
bezichtigen, 責める ,0,0,13980013190310327575
sich vertragen mit, 仲良くやっていく ,1,0,16587936297994072822
entfallen auf, 〜の取り分になる　割り当てられる ,7,5,18424130204343450945
gelangen, 達する ,0,0,13809633587146473382
versäumen, のがす　おざなりにする ,1,0,8563566738111533468
einschließen, 含める　閉じ込める ,4,1,4002498289076530461
gewähren, 許可する　授ける ,1,1,6637920187119428817
zerfezten, ズタズタにする ,1,1,17533610363706640370
ausweichen, かわす　回避する ,0,0,14381607774314449532
entfesseln, 解き放つ ,7,6,16024225072036105213
belegen, だと証明する　占める　割り当てる　敷く ,0,0,12849100999454045564
stolzieren, 威張って歩く ,1,1,10418486290753282719
mobilisieren, 動員する ,1,0,16783338252412519577
stecken, つぎ込む　という状態にある ,1,0,2101027955416258148
eingehen auf, 取り組む　提案などに応じる ,10,10,2547449133660991760
sich verschaffen, 手にいれる　工面する ,0,0,10856227355528433407
konstatieren, 気づく　断言する　確認する　突き止める　 ,1,1,3499018516543265712
niederschlagen, 目をふせる ,0,0,18234002872443959054
wirken, 働く　印象を与える　作用を及ぼす　編む ,1,0,1962372363123906960
treten in, の状態に入る ,1,0,6450944330227369818
erliegen, 負ける　屈する ,1,1,16623179587577532661
abschätzen, 評価を下す ,0,0,12342108693576847230
verwundern, 不思議がらせる ,0,0,5766992950606668664
stelzen, ぎこちなく大股で歩く ,1,1,14715924673786252091
wirken auf, 〜にはそう見える ,0,0,7447987250571874662
abwarten, じっくり待つ ,0,0,10530439197289915750
begegnen, 〜に面する　遭遇する　ばったり出会う ,0,0,4273477794136591340
klagen, 一般的に訴える ,1,1,17133278292748188356
unerwerfen, 法を適用する　法に従わせる ,0,0,6507138498396944872
rumkriegen, 手に入れる　なんとかする ,0,0,14641951558801290624
sich verwandeln in, に変わる ,1,0,2727152381087900490
purzeln, 転げ落ちる ,1,1,1567003817680250249
ausmachen, 全部で〜になる　日取りなどを決める ,0,0,17430952702995588213
nachlassen, 和らぐ ,0,0,7562643001863405374
